region,title,period,description,host_info
부산,해운대북극곰축제,"2월 중
(2일간)", ○ 수영대회 및 입수프로그램,"부산일보사
/ 부산일보사
(051-461-4295"
부산,해운대 달맞이온천축제,"2.24.~2.26.
(3일)","○ 달집 기원제, 소망기원문 쓰기, 대동놀이
○ 달집태우기, 강강술래등","부산광역시 해운대구/(사)해운대지구발전협의회
(051-749-4062)"
부산,사상강변축제,"3월말~4월초
(2일간)",○ 벚꽃을 테마로 한 지역문화축제,"사상구 문화교육과/사상문화원
(051-310-4062)"
부산,"강서 낙동강변
30리 벚꽃축제",3월 중,"○ 벚꽃길 걷기대회  ○ 벚꽃노래자랑 
○ 문화공연 및 무대행사  ○ 청소년 스타킹 
○ 모형항공기대회, 사생대회 및 백일장 등","부산광역시 강서구 /
강서구축제추진위원회
(051-970-4062)"
부산,부산낙동강유채꽃축제,"4월 중
(2일간)","○ 토크쇼 형태의 유채라디오 송출, 유채꽃밭 
   개별체험
   - 일방향 관람동선, 페쇄형 공간 구축
 ○ 유채꽃 활용 홈키트 개발","부산광역시
/부산문화관광축제조직위원회
(051-888-5222)"
부산,기장미역다시마축제,"4월중
(3일간)"," ○ 생초캐기 체험, 지역특산물 경매 등","기장군 해양수산과/
기장미역다시마축제추진위원회
(051-709-4612)"
부산,기장멸치축제,"4월중.
(3일간)"," ○ 멸치털이체험, 멸치회 무료시식회, 지역특산물 경매 등","기장군 해양수산과/
기장멸치축제추진위원회
(051-709-4502)"
부산,제20회 대저토마토축제,"4.3~4.4
(2일간)","○ 토마토생태탐방 걷기대회
○ 대형스파게티 만들기
○ 공연 ? 체험 ? 전시행사","대저토마토축제 추진위원회
/ 대저농업협동조합
(051-970-4812)"
부산,라라라 페스티벌,"4월 또는 10월
(3일간)","○ 개폐막식
○ 금정 커피, 빵, 문화의 맛 즐기기
○ 초콜릿 만들기 등 체험행사
○ 지역예술작가 등 마켓존 운영","부산광역시 환경위생과
(051-519-4424)"
부산,조선통신사축제,"4.30~5.2
(3일간)","○ 조선통신사 평화의 행렬, 조선 통신사의 밤 등","(재)부산문화재단
(051-745-7707)"
부산,부산원도심골목길축제,"5월 중
(2일간)"," ○ 원도심 테마별 걷기대회 
 ○ 도착지 문화콘텐츠(강연, 공연 등)","부산광역시
/부산문화관광축제조직위원회
(051-888-5221)"
부산,제9회 낙동강 구포나루축제,"5.21~5.23
(3일간)"," ○ 대표프로그램 : 낙동강&밀 그리고 감동진
 ○ 밀사리 한마당, 구포국수 만들기 체험
 ○ 개폐막식, 각종 수상체험 등
     - 3개 테마 35개 프로그램 
 ○ 구포맥주(수제맥주) 체험, 사운드 피크닉 등","(사)부산북구문화관광축제조직위원회
/(사)부산북구문화관광축제조직위원회
(051-309-4982)"
부산,부산항축제,"5월 중
(2일간)"," ○ 해상투어 씨스루(Sea-Thru) 콘서트 
 ○ 집콕체험(부산항 관련 가족과 함께 만들기 체험)
 ○ 불꽃쇼, 거리 퍼레이드, 블랙이글스 에어쇼 등","부산광역시 해양레저관광과
/부산문화관광축제조직위
(051-888-5352)"
부산,금정산성축제,"5월
(2일간)","○ 개막공연
○ 주민 참여 및 체험 프로그램
○ 경연 프로그램
○ 기타 축제 프로그램 등","부산광역시 문화관광과
(051-519-4062)"
부산,2021 광복로 연등문화제,"5.1~5.20
(20일간)","○ 장엄등 및 가로등 설치, 개막점등식, 무료체험행사 등","(사)부산시중구불교연합회
(051-253-8687)"
부산,하단웅어축제,"5월 중
(3일간)", ○ 수산물소비촉진 행사 및 각설이 공연 등," 하단웅어축제추진위원회 / 부산시수협 하단어촌계
(051-291-0047) "
부산,해운대 모래축제,"5.5.~5.9.
(5일간)","○ 세계모래조각전
○ 모래를 소재로한 국내 최대규모의 친환경축제
○ 개막식공연, 퍼레이드 등 다수 프로그램","부산광역시 해운대구/
부산광역시 해운대구
(051-749-4062)"
부산,광안리어방축제,"미정
(3일간)","○ 뮤지컬어방, 경상좌수사행렬
○ 수군과 어민의 어업공동체인 '어방'을 테마로
    공연,전시,체험 프로그램 운영
○ 진두어화, 어방그물끌기,맨손으로활어잡기 등
   - 6개분야 38개 프로그램 운영
○ 문화예술의거리, SUP대회 개최 ","수영구 문화관광과
/ 수영구축제위원회
(051-610-4062)"
부산,해운대 해양레저축제,6월경,"○ 해양레저 체험, 시민참여 프로그램 운영
○ 해양레저용품 전시관, 포토존 운영
○ 개막공연 등 다양한 문화축제의 장 등","부산광역시 해운대구/
부산광역시 해운대구
(051-749-4062)"
부산,수국꽃문화축제,"6월말~7월초
(9일간)","○ 꽃밭버스킹, 꽃밭포토존
○ 플라워아트 전시회, 수국생태문화해설, 꽃밭냉면시식회 등
○ 수국 배경 개막식 및 문화공연","대한불교조계종 태종사/
수국축제추진위원회"
부산,부산국제록페스티벌,"7월 중
(3일간)","○ 코로나 지속 시 해외아티스트 라이브 공연 
   현장 위성 생중계
   - 거리두기 좌석배치, 온라인 생중계
○ 밴드 초청공연, 록밴드 국제교류, 부대행사
   - 사전예약제, 유료티켓","부산광역시
/부산문화관광축제조직위원회
(051-888-5222)"
부산,(가칭)서면대표축제,"7.30~8.1
(3일간)",○ 서면 도심의 에너지를 극대화할 수 있는 공연 등 개최,부산진구 문화체육과/부산진구축제위원회(051-605-4062)
부산,부산바다축제,"8월 중
(2주간)"," ○ 개막행사, 체험행사, 공연행사 등","부산광역시
/부산문화관광축제조직위원회
(051-888-5224)"
부산,기장갯마을축제,"8월초
(3일간)","○ 갯마을 콘서트 및 각종 체험행사, 부대행사 등","기장군 문화관광과/
기장갯마을축제추진위원회
(051-709-4062)"
부산,"제20회 
명지시장전어축제",8월 하순 예정," ○개막식 ○노래자랑 ○전어무료시식회
 ○초청가수 공연 ○불꽃놀이 등","㈜명지시장상인회/
명지시장전어축제추진위원회(051-970-4475)"
부산,기장붕장어축제,"9~10월중
(2일간)"," ○붕장어회 무료시식, 지역특산물 경매,  등","기장군 해양수산과/
기장붕장어축제추진위원회
(051-709-4502)"
부산,기장시장 한마당 잔치,"9~10월중
(3일간)","? 개막식 및 축하공연
? 먹방 유튜버 방송 및 축제 홍보영상 촬영/업로드
? 기장시장 바다먹거리 BBQ 장터, 소규모 문화공연 등"," (사)기장시장번영회/문화시장추진위원회
(051-721-3963)"
부산,차이나타운특구축제,"10.15~17
(3일간)","○ 다양한 한중문화 공연(개막?주무대/거리공연)
    - 중국(소수민족 민속춤, 변검·토화, 기예단)
    - 한국(가면무, 민요) 등
○ 차이나타운 홍등터널 및 텍사스거리 LED등 설치
○ 부산역 광장 가족 만두빚기 체험 프로그램 개최
○ 이색포토존(대형홍등, 소원터널, 축제 의자 등)
○ 차이나타운 상권 참여 중국요리 시식회 개최
○ 관람객 참여 거리퍼레이드 진행 : 중앙대로, 특구 내
○ 중국인유학생 가요제, 동남아유학생 및 다문화가족 
    장기자랑 개최 등 ","부산 동구 문화체육관광과
/차이나타운특구축제추진위원회
(051-440-4062)"
